event	stage	breaker 1 (red)	breaker 2 (blue)	winner	battle rounds	number of judges	breaker 1 round wins	breaker 2 round wins	tie rounds	breaker 1 vote count	breaker 2 vote count	tie vote count	judge 1 name	judge 2 name	judge 3 name	judge 4 name	judge 5 name	judge 6 name	judge 7 name	judge 8 name	judge 9 name	r1j1over	r1j2over	r1j3over	r1j4over	r1j5over	r1j6over	r1j7over	r1j8over	r1j9over	r2j1over	r2j2over	r2j3over	r2j4over	r2j5over	r2j6over	r2j7over	r2j8over	r2j9over	r3j1over	r3j2over	r3j3over	r3j4over	r3j5over	r3j6over	r3j7over	r3j8over	r3j9over																
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Double D	Saïd	Double D	3	5	2	1	0	8	7	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	blue	blue	red					red	red	red	blue	red					red	blue	red	blue	red																				
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Sarro	Qube	Sarro	2	5	2	0	0	10	0	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	red	red					red	red	red	red	red																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Saïd	Qube	Saïd	3	5	2	1	0	12	3	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	red	blue	red	blue					red	red	red	red	red					red	red	red	red	red																				
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Double D	Sarro	Double D	2	5	2	0	0	10	0	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	red	red					red	red	red	red	red																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Qube	Deadlydani	Qube	2	5	2	0	0	7	3	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	blue	red					red	blue	red	blue	red																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Phil	Saïd	Saïd	2	5	0	2	0	0	10	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Lafilove	Sarro	Sarro	3	5	1	2	0	8	7	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	blue	blue	blue	red					red	red	red	red	blue					red	blue	blue	blue	red																				
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Double D	Kidmark	Double D	2	5	2	0	0	10	0	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	red	red					red	red	red	red	red																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	YosemiteSam	Deadlydani	Deadlydani	2	5	0	2	0	3	7	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	blue	blue	blue					blue	blue	red	blue	blue																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Qube	Mayo	Qube	2	5	2	0	0	8	2	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	blue	blue	red	red					red	red	red	red	red																													
