event	stage	breaker 1 (red)	breaker 2 (blue)	winner	battle rounds	tiebreaker	number of judges	breaker 1 vote count	breaker 2 vote count	tie vote count	tie breaker 1 vote count	tie breaker 2 vote count	tie tie vote count	judge 1 name	judge 2 name	judge 3 name	judge 4 name	judge 5 name	judge 6 name	judge 7 name	judge 8 name	judge 9 name	j1vote	j2vote	j3vote	j4vote	j5vote	j6vote	j7vote	j8vote	j9vote	tiej1vote	tiej2vote	tiej3vote	tiej4vote	tiej5vote	tiej6vote	tiej7vote	tiej8vote	tiej9vote
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group D	Kidmario	Noé	Noé		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group D	Wilfried	Killian	Killian		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group D	Wilfried	Noé	Noé		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group D	Kidmario	Killian	Killian		no	5	1	4	0				Magnum	Yves	Babyson	Resist	Nabil					red	blue	blue	blue	blue													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group D	Wilfried	Kidmario	Wilfried		no	5	4	1	0				Magnum	Yves	Babyson	Resist	Nabil					red	red	red	red	blue													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group D	Noé	Killian	Noé		no	5	3	2	0				Babyson	Yves	Nabil	Magnum	Resist					red	red	red	blue	blue													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group C	Dylan LO	Martin	Martin		no	5	1	4	0				Magnum	Yves	Babyson	Resist	Nabil					red	blue	blue	blue	blue													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group C	Luka	Wali	Luka		no	5	3	2	0				Magnum	Yves	Babyson	Resist	Nabil					red	red	blue	blue	red													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group C	Luka	Martin	Luka		no	5	5	0	0				Magnum	Yves	Babyson	Resist	Nabil					red	red	red	red	red													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group C	Dylan LO	Wali	Dylan LO		no	5	4	1	0				Magnum	Yves	Babyson	Resist	Nabil					red	red	red	blue	red													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group C	Luka	Dylan LO	Luka		no	5	4	1	0				Babyson	Yves	Nabil	Magnum	Resist					red	red	blue	red	red													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group C	Martin	Wali	Martin		no	5	4	1	0				Babyson	Yves	Nabil	Magnum	Resist					red	red	red	red	blue													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group B	Mounir	Yassif	Yassif		no	5	1	4	0				Magnum	Yves	Babyson	Resist	Nabil					red	blue	blue	blue	blue													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group B	Sekou	Marlone	Marlone		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group B	Sekou	Yassif	Yassif		no	5	1	4	0				Magnum	Yves	Babyson	Resist	Nabil					red	blue	blue	blue	blue													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group B	Mounir	Marlone	Mounir		no	5	3	2	0				Magnum	Yves	Babyson	Resist	Nabil					red	blue	red	red	blue													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group B	Sekou	Mounir	Mounir		no	5	2	3	0				Magnum	Yves	Babyson	Resist	Nabil					blue	red	blue	blue	red													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group B	Yassif	Marlone	Marlone		no	5	2	3	0				Babyson	Yves	Nabil	Magnum	Resist					red	blue	blue	red	blue													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group A	Nasty	Lucky	Nasty		no	5	5	0	0				Magnum	Yves	Babyson	Resist	Nabil					red	red	red	red	red													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group A	Fresh Mez	Dany Dann	Dany Dann		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group A	Fresh Mez	Lucky	Lucky		no	5	2	3	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	red	red	blue													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group A	Nasty	Dany Dann	Dany Dann		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group A	Fresh Mez	Nasty	Nasty		no	5	2	3	0				Babyson	Yves	Nabil	Magnum	Resist					red	blue	blue	blue	red													
Championnat de France 2023	B-Boys +16 Top 16 Round Robin Group A	Lucky	Dany Dann	Dany Dann		no	5	0	5	0				Babyson	Yves	Nabil	Magnum	Resist					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group D	Mareva	Zouza	Zouza		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group D	Lily Rose	Carlota	Carlota		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group D	Lily Rose	Zouza	Zouza		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group D	Mareva	Carlota	Carlota		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group D	Lily Rose	Mareva	Mareva		no	5	1	4	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	red													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group D	Zouza	Carlota	Carlota		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group C	Anna	Ninah	Ninah		no	5	1	4	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	red	blue													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group C	Romanesque	Syssy	Syssy		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group C	Romanesque	Ninah	Ninah		no	5	1	4	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	red	blue													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group C	Anna	Syssy	Syssy		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group C	Romanesque	Anna	Anna		no	5	2	3	0				Magnum	Yves	Babyson	Resist	Nabil					red	red	blue	blue	blue													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group C	Ninah	Syssy	Syssy		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group B	Célia	Clea	Clea		no	5	2	3	0				Magnum	Yves	Babyson	Resist	Nabil					blue	red	blue	red	blue													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group B	Emma	Kimie	Kimie		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group B	Emma	Clea	Clea		no	5	1	4	0				Magnum	Yves	Babyson	Resist	Nabil					blue	red	blue	blue	blue													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group B	Célia	Kimie	Kimie		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group B	Emma	Célia	Emma		no	5	3	2	0				Magnum	Yves	Babyson	Resist	Nabil					blue	red	blue	red	red													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group B	Clea	Kimie	Kimie		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group A	Warlène	Léonie	Warlène		no	5	5	0	0				Magnum	Yves	Babyson	Resist	Nabil					red	red	red	red	red													
Championnat de France 2023	B-Girls +16 Top 16 Round Robin Group A	Lou Adele	Sarah Bee	Sarah Bee		no	5	0	5	0				Magnum	Yves	Babyson	Resist	Nabil					blue	blue	blue	blue	blue													
