event,stage,breaker 1 (red),breaker 2 (blue),winner,battle rounds,number of judges,breaker 1 round wins,breaker 2 round wins,breaker 1 vote count,breaker 2 vote count,judge 1 name ,judge 2 name,judge 3 name,judge 4 name,judge 5 name,judge 6 name ,judge 7 name,judge 8 name,judge 9 name,r1j1over,r1j1tech,r1j1voca,r1j1orig,r1j1exec,r1j1musi,r1j2over,r1j2tech,r1j2voca,r1j2orig,r1j2exec,r1j2musi,r1j3over,r1j3tech,r1j3voca,r1j3orig,r1j3exec,r1j3musi,r1j4over,r1j4tech,r1j4voca,r1j4orig,r1j4exec,r1j4musi,r1j5over,r1j5tech,r1j5voca,r1j5orig,r1j5exec,r1j5musi,r1j6over,r1j6tech,r1j6voca,r1j6orig,r1j6exec,r1j6musi,r1j7over,r1j7tech,r1j7voca,r1j7orig,r1j7exec,r1j7musi,r1j8over,r1j8tech,r1j8voca,r1j8orig,r1j8exec,r1j8musi,r1j9over,r1j9tech,r1j9voca,r1j9orig,r1j9exec,r1j9musi,r2j1over,r2j1tech,r2j1voca,r2j1orig,r2j1exec,r2j1musi,r2j2over,r2j2tech,r2j2voca,r2j2orig,r2j2exec,r2j2musi,r2j3over,r2j3tech,r2j3voca,r2j3orig,r2j3exec,r2j3musi,r2j4over,r2j4tech,r2j4voca,r2j4orig,r2j4exec,r2j4musi,r2j5over,r2j5tech,r2j5voca,r2j5orig,r2j5exec,r2j5musi,r2j6over,r2j6tech,r2j6voca,r2j6orig,r2j6exec,r2j6musi,r2j7over,r2j7tech,r2j7voca,r2j7orig,r2j7exec,r2j7musi,r2j8over,r2j8tech,r2j8voca,r2j8orig,r2j8exec,r2j8musi,r2j9over,r2j9tech,r2j9voca,r2j9orig,r2j9exec,r2j9musi,r3j1over,r3j1tech,r3j1voca,r3j1orig,r3j1exec,r3j1musi,r3j2over,r3j2tech,r3j2voca,r3j2orig,r3j2exec,r3j2musi,r3j3over,r3j3tech,r3j3voca,r3j3orig,r3j3exec,r3j3musi,r3j4over,r3j4tech,r3j4voca,r3j4orig,r3j4exec,r3j4musi,r3j5over,r3j5tech,r3j5voca,r3j5orig,r3j5exec,r3j5musi,r3j6over,r3j6tech,r3j6voca,r3j6orig,r3j6exec,r3j6musi,r3j7over,r3j7tech,r3j7voca,r3j7orig,r3j7exec,r3j7musi,r3j8over,r3j8tech,r3j8voca,r3j8orig,r3j8exec,r3j8musi,r3j9over,r3j9tech,r3j9voca,r3j9orig,r3j9exec,r3j9musi
Summer Olympic Games Paris 2024,1vs1 B-Boys Top 8 KnockOut,DANY DANN,PHIL WIZARD,PHIL WIZARD,3,9,0,3,4,23,KAZUHIRO,FROST,MOY,MIGAZ,JESS,KOWLOON,VIRUS,DOM-K,INTACT,0.4,1.4,-1.2,1.4,1.6,-2.8,-2.2,-2,2.4,3.2,-2,-3.8,3.2,0,1.4,1.6,1.8,-1.6,7.4,2.6,3,2,1.6,-1.8,-4.8,-1.6,-1.2,1,-1.2,-1.8,1.6,-1.4,1.2,0.8,0.2,0.8,1.2,-2.2,2.2,2,1.2,-2,-3.2,-3.8,2.4,4.4,-2.2,-4,-3,-1.2,1.2,0.8,-1.4,-2.4,8.2,0.6,2.4,1.4,2,1.8,11.4,2.2,2.8,4,-1.8,4.2,2.2,0.4,1.6,1.8,1.2,-2.8,3.6,-1.6,3.4,2.4,2,-2.6,1,-1.2,1,1.8,-1.2,0.6,7,1.4,1.4,1.6,1.6,1,2.4,0.8,1.4,-0.4,0,0.6,7,2.8,0,3.2,3.4,-2.4,11.4,0.6,3.4,3.8,1,2.6,13,1.8,3.4,2.4,3.2,2.2,21.8,5.2,2.2,7,2.6,4.8,7.6,1.2,1.4,1.8,1.4,1.8,15.2,4.2,3,4.4,2.2,1.4,5.2,0.6,0.4,2,1,1.2,7,1.4,1.4,1.6,1.6,1,5.2,1.2,1.2,0.6,1,1.2,0.8,-4.2,3.6,3.2,3,-4.8,17.2,1.8,3.8,2,5.2,4.4
Summer Olympic Games Paris 2024,1vs1 B-Boys Top 8 KnockOut,VICTOR,SHIGEKIX,VICTOR,3,9,3,0,20,7,KAZUHIRO,FROST,MOY,MIGAZ,JESS,KOWLOON,VIRUS,DOM-K,INTACT,-1.6,1,-2.6,-2.6,1,1.6,-5.6,4,-3.6,-2.2,-1.4,-2.4,-8.2,-1.8,-1.2,-2,-1.2,-2,-0.4,2.6,-2.8,-3.8,2.2,1.4,-1,1.2,-1.2,-1.2,1,-0.8,-2,2,1,-1.6,-1,-2.4,-1.6,2.4,-2.8,-1.2,-2,2,-4.8,2.2,-2.8,-3,-3.6,2.4,-16.8,-1.4,-4.4,-3.2,-3,-4.8,4.6,2.2,1.2,-1.6,1.4,1.4,3,2.8,2.2,-2.6,2.8,-2.2,-6,-1.8,-1.4,-3.8,1.2,-0.2,-7.6,2,-2.6,-2.2,-3.2,-1.6,-1,1.4,-1.8,-1.4,1.2,-0.4,6.6,1.4,1.2,1.2,1.4,1.4,7.2,0.8,1,2.4,2.2,0.8,-2.2,2.8,-3,-2.2,-2.8,3,-5.6,-0.6,-1.4,-1,-0.6,-2,2.2,1,0.8,-2.6,1.8,1.2,-5.4,5.8,-3.4,-3.2,-3.2,-1.4,-2,-0.4,-0.8,-2.2,2.6,-1.2,6.2,1.8,2,2,-1.2,1.6,-3.4,1.4,-1.6,-1.8,-0.6,-0.8,-1.6,1.2,1.2,-1.8,-1.2,-1,4.8,1.4,0.6,0.8,1.2,0.8,-5,3.2,-3.6,-3.8,2.6,-3.4,-16,-2.4,-4.2,-2.6,-1.6,-5.2
Summer Olympic Games Paris 2024,1vs1 B-Boys Top 8 KnockOut,SHIGEKIX,PHIL WIZARD,PHIL WIZARD,3,9,0,3,10,17,KAZUHIRO,FROST,MOY,MIGAZ,JESS,KOWLOON,VIRUS,DOM-K,INTACT,1,0.8,2,-1.2,1,-1.6,-2.8,-4.6,2.6,3.2,-4,0,-4.4,-2.6,1,3,-3.2,-2.6,9.8,2.8,3,2.6,3.2,-1.8,1,1,0.4,1,-1.4,0,2.2,-1.4,1.6,1.6,-0.8,1.2,0.8,-3.8,4.2,2.6,-3,0.8,-2.6,-4.6,3,4,-3,-2,-3,-1.6,1.8,1.4,-2,-2.6,-3,-0.8,-2,1.8,-1.2,-0.8,1.6,-3.6,2.2,3.2,-1.8,1.6,1.8,-2.6,2.8,2.2,-1.4,0.8,7,2.2,3.4,1.6,-2.6,2.4,2.2,-1,1.4,2,-1.2,1,3.2,-1.4,1.6,1.6,0.8,0.6,2.8,-2.2,0.8,1.6,1.4,1.2,-2.6,-2.2,2.6,3.6,-2.8,-3.8,-3.4,-1,-1.2,1.8,-2.2,-0.8,1.6,-1,1.4,2.8,-1.2,-0.4,2,-3.4,1.8,3,-1.6,2.2,-3.8,-2.4,1.4,2,-1.8,-3,-5.6,-2.8,-2.8,2.2,-3.6,1.4,1,-2,1.2,1.8,-1,1,-4.2,-1.4,-1.6,1.4,-1,-1.6,2.8,-1.2,-1,2.2,1.2,1.6,2,-3.8,3.6,3.8,-3.4,1.8,7.8,0.8,3,2,0.8,1.2
Summer Olympic Games Paris 2024,1vs1 B-Boys Top 8 KnockOut,DANY DANN,VICTOR,DANY DANN,3,9,2,1,15,12,KAZUHIRO,FROST,MOY,MIGAZ,JESS,KOWLOON,VIRUS,DOM-K,INTACT,-6.6,-0.8,-1.6,-0.6,-2,-1.6,-11,-1.2,-1.6,-1.6,-1.6,-5,-2.4,1,-2.4,1.6,-1.2,-1.4,11.6,1.2,2.6,3.6,2.2,2,2.4,0.8,1,1.2,0.4,-1,-4.4,-1.2,-1,-0.6,-0.6,-1,-2,2.6,-2,-1.2,1.2,-2.6,-6.4,-3.6,-2.6,2,3,-5.2,6.6,2.2,3,1,1.6,-1.2,0.4,1.6,-1.2,2.2,-1,-1.2,-1.4,-1.4,2,2.6,-2.6,-2,5.4,0.4,1.8,1,1.2,1,-4.2,-1.2,-2.6,-1.4,1.8,-0.8,-1.2,-0.8,0.8,0.8,-1,-1,6,1.8,1.4,1.4,0.4,1,-6.2,-0.8,-1.2,-1,-1,-2.2,-1.4,-6,3,2,2.4,-2.8,-10.6,-2.2,-0.8,-2.8,-3,-1.8,2.8,0.8,0.8,1.4,0.8,-1,-0.4,1.6,-2.6,2.2,1.6,-3.2,-4.6,-1,-1,-0.8,-0.6,-1.2,-5,1.4,-4.4,2.4,-2.4,-2,2.2,1,-1,0.8,1,0.4,3,1.2,-1,1.2,0.8,0.8,0.2,0.6,-1,0.6,1,-1,4,-2.8,3,2.2,3.2,-1.6,7.8,1.8,2.4,0.8,0.8,2
Summer Olympic Games Paris 2024,1vs1 B-Boys Top 8 KnockOut,LEE,PHIL WIZARD,PHIL WIZARD,3,9,0,3,8,19,KAZUHIRO,FROST,MOY,MIGAZ,JESS,KOWLOON,VIRUS,DOM-K,INTACT,3.4,-1,1.8,0.8,1.2,0.6,5,2.6,2.6,2,-3.2,1,1.4,2,-1.8,2,1.8,-2.6,9.8,2,2,0,4,1.8,5.8,1.2,0.8,1.8,0.8,1.2,3.4,-1.6,1.8,1.2,0.8,1.2,-1.2,-2.6,2.6,2,-1.6,-1.6,4.8,4,2.2,-1.6,-3.4,3.6,9,0.8,3.2,0.8,1.4,2.8,-1,-1,1.4,1.8,-1.6,-1.6,4,-1.8,2.2,2.4,-1.4,2.6,9,1,2,2.8,2,1.2,-3.6,-2.2,-2.6,-1.4,1.6,1,6.6,1.8,0.8,1.8,0.8,1.4,2.4,-1.2,1,1,1.2,0.4,-8.4,-2,-1.6,-1.8,-1.6,-1.4,-2.6,2,4,-2.8,-3,-2.8,3.4,-1,2.4,1.4,-1,1.6,-1.2,-1.6,1,2.8,-2,-1.4,3.8,-1.8,3,-2.6,1.4,3.8,10.2,2,1.6,2.6,1.6,2.4,11,2.6,3.6,-2.2,4.6,2.4,5,1.6,1,2,-0.4,0.8,1,-1.6,1,0.8,0.6,0.2,-8,-2.2,-2.2,-1.2,-1.4,-1,-3.4,2,-2.6,-3.2,-2.6,3,12,0.8,3.2,3,1.6,3.4
Summer Olympic Games Paris 2024,1vs1 B-Boys Top 8 KnockOut,SHIGEKIX,MENNO,SHIGEKIX,3,9,3,0,22,5,KAZUHIRO,FROST,MOY,MIGAZ,JESS,KOWLOON,VIRUS,DOM-K,INTACT,-9,-3.4,-1.6,1,-1.8,-3.2,-11.2,-2.8,-1.6,2,-6.2,-2.6,-5.2,-2.4,2.2,1.2,-3.6,-2.6,-4.2,-2,2.6,0.8,-3.2,-2.4,-0.2,-1,1.2,1.6,-0.6,-1.4,-4,-1.6,-1.2,1.6,-1.2,-1.6,-15,-5,-2.4,-2.6,-1.6,-3.4,-4.6,-3.8,2,3.6,-2.4,-4,-4.2,-2.2,1,0.6,-2.6,-1,-1.6,-1.2,1.2,2,-1.8,-1.8,1.8,-3.8,-2,3,2,2.6,-5,-2.2,1,2.2,-3.4,-2.6,9.6,2.6,2.4,3.2,3.4,-2,-1.2,-1,0.6,1,-1,-0.8,-3.6,-1.2,-1.4,1.2,-1,-1.2,-11.2,-3.2,-2.4,-2.4,-1.4,-1.8,-5.2,-3.4,3.2,3.6,-3.2,-5.4,4,-1,2.8,2.2,0.8,-0.8,-6.2,-2.2,-1.2,1,-1.6,-2.2,-8.8,-7.2,-1.6,5.4,-4,-1.4,-2.4,-0.8,-1.6,1.2,-2.2,1,-5.2,-2.2,-2,-1.8,-1.6,2.4,-2.4,-1.8,0.6,1.4,-1.6,-1,2.6,-1.8,2,1.6,1.4,-0.6,-10.2,-2.2,-1.8,-2.4,-2,-1.8,-0.6,-4,2,3.6,-4,1.8,10.4,0.6,2,3.6,0.8,3.4
Summer Olympic Games Paris 2024,1vs1 B-Boys Top 8 KnockOut,AMIR,VICTOR,VICTOR,3,9,0,3,3,24,KAZUHIRO,FROST,MOY,MIGAZ,JESS,KOWLOON,VIRUS,DOM-K,INTACT,4.8,0.6,1.2,0.6,0.8,1.6,4.4,-2.6,2.6,-4.4,4.2,4.6,2.4,0.8,-1.6,0.4,1,1.8,8.8,3,2.4,3,-2,2.4,0.2,-1,0.8,-1.4,0.4,1.4,5.8,1.4,1.4,1.4,0.8,0.8,0.2,2,-3,-3,3.6,0.6,0.4,-3.6,2.8,-4.6,3,2.8,6,1.2,-2,-0.4,3.2,4,8.4,1.6,2.4,0.8,2.6,1,8.2,3.2,1.2,-3.6,2.2,5.2,2.8,2,-1,-1,1.4,1.4,-1,-1.4,-2.4,-1.8,3.2,1.4,4,1.2,1,-0.8,1.6,1,7,1.4,1.4,1.4,1.6,1.2,1.4,0,1.4,-2.2,1,1.2,2.6,3.8,2,-3.6,3.6,-3.2,2,1,-2,-1.2,1.6,2.6,-1,1.8,-0.8,-2,-1.2,1.2,2,-1.4,-1.4,-3,4,3.8,1.6,2,-1.8,-0.8,0.8,1.4,2,-1.8,2.4,-1.8,2.6,0.6,6.6,1.6,0.4,1,1.2,2.4,2.6,1.8,-2,1.4,1,0.4,-12.6,-2,-2.8,-3.6,-2.8,-1.4,8.4,3.4,1.6,-2.8,2.8,3.4,1.8,1,-1.6,-2,1.6,2.8
Summer Olympic Games Paris 2024,1vs1 B-Boys Top 8 KnockOut,DANY DANN,JEFFRO,DANY DANN,3,9,2,1,14,13,KAZUHIRO,FROST,MOY,MIGAZ,JESS,KOWLOON,VIRUS,DOM-K,INTACT,5.2,-1.4,1,1.2,2.4,2,-0.4,-5,-4.2,-1.6,5.2,5.2,10,0.8,2.4,1.4,3,2.4,8.8,-0.6,2.8,2.2,2,2.4,1.4,-0.4,-0.6,1.2,-0.8,2,-5.6,-0.8,-1.4,-1.2,-1,-1.2,1.6,-2.2,2.2,-2,2,1.6,-13.4,-5.2,-2.8,3.4,-3.4,-5.4,7.6,-1.2,2.4,2.8,1.8,1.8,7.4,0.8,1.4,1.2,1.2,2.8,3,-2.6,-1.2,1.8,1.6,3.4,-1.4,-1.2,-1.8,1.6,-1.6,1.6,-12.6,-2,-4,-2.2,-3.2,-1.2,-1.8,-1.4,-0.8,0.8,-1.6,1.2,-2.8,-0.8,-0.4,-1,-1.4,0.8,-4.2,-1.6,0,0,-1.4,-1.2,12,5.8,2,-3.4,2.8,4.8,4,-2,1.8,1.6,1.4,1.2,4.4,-1.4,2.4,1.2,1,1.2,-2.2,-2.6,-1.8,-1.4,-1.6,5.2,-7.6,-1.2,-2.4,-0.8,-1.6,-1.6,9.4,-2,3,2.2,3.8,2.4,-0.2,-0.6,-0.8,1.2,-1.6,1.6,8.2,1.6,1.6,1.6,1.8,1.6,-6.6,-1.2,-1.2,-1.8,-1.6,-0.8,-1,2.4,-4.8,2,3,-3.6,-2.8,-2.4,1.2,1.2,-2,-0.8
Summer Olympic Games Paris 2024,1vs1 B-Boys Top 16 RoundRobin,BILLY,MENNO,MENNO,2,9,0,2,1,17,KAZUHIRO,FROST,MOY,MIGAZ,JESS,KOWLOON,VIRUS,DOM-K,INTACT,-2.6,-1,-1.4,2,-1.2,-1,26,2.8,7.4,9,4.6,2.2,10.2,1.4,2.6,3,1.6,1.6,7.4,-1.6,2.8,2.6,2.4,1.2,7.2,1.4,0.6,2.6,1.6,1,5.2,0.8,0.8,1,1.6,1,3.4,-1.8,1,1.8,1,1.4,5.6,-2.2,2.6,5.4,3.4,-3.6,17.8,2.6,5.2,5.2,3,1.8,1.6,-1,1.2,1.4,1,-1,25.6,5.4,5.8,5.8,4.6,4,5.8,1.4,1.6,0.8,1,1,7.6,1.2,2,3,3,-1.6,10.8,2.8,2,3.2,1.6,1.2,5.8,1,1.4,1.4,1,1,0.2,-1.4,0.8,2,-1.2,0,10.2,4.8,3.4,3,2.6,-3.6,27.8,3,7.8,7.6,6.6,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer Olympic Games Paris 2024,1vs1 B-Boys Top 16 RoundRobin,QUAKE,AMIR,AMIR,2,9,0,2,5,13,KAZUHIRO,FROST,MOY,MIGAZ,JESS,KOWLOON,VIRUS,DOM-K,INTACT,7.4,1.2,0.6,3,1.4,1.2,-10.8,-2.6,-2,-2,-2.2,-2,10,1.6,1.6,1.8,1.8,3.2,8.8,1.8,3.6,2,2.8,-1.4,4,1.2,1.4,1.2,1.4,-1.2,7.2,2,1.2,1.4,1.4,1.2,-6.8,-0.8,-1.8,-1.6,-1.6,-1,-0.4,-4.8,3.6,2.8,2.6,-4.6,7.4,1,2,4.2,1.6,-1.4,2.4,0,2,3.2,-1,-1.8,4.8,-1,2.6,3,2.8,-2.6,4.8,-1.4,1.8,2,1,1.4,3.4,-2.2,2.8,2,2.4,-1.6,-3.4,-1,-1.4,1.4,-0.6,-1.8,3.4,-1.4,2,1.6,-0.2,1.4,-3,-0.4,-0.6,-1,-0.4,-0.6,3,2.2,2.8,4.4,-3.6,-2.8,8.6,0.8,4.2,3,2.4,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
