event,stage,breaker 1 (red),breaker 2 (blue),winner,battle rounds,number of judges,breaker 1 round wins,breaker 2 round wins,breaker 1 vote count,breaker 2 vote count,judge 1 name ,judge 2 name,judge 3 name,judge 4 name,judge 5 name,judge 6 name ,judge 7 name,judge 8 name,judge 9 name,r1j1over,r1j2over,r1j3over,r1j4over,r1j5over,r1j6over,r1j7over,r1j8over,r1j9over,r2j1over,r2j2over,r2j3over,r2j4over,r2j5over,r2j6over,r2j7over,r2j8over,r2j9over,r3j1over,r3j2over,r3j3over,r3j4over,r3j5over,r3j6over,r3j7over,r3j8over,r3j9over,r4j1over,r4j2over,r4j3over,r4j4over,r4j5over,r4j6over,r4j7over,r4j8over,r4j9over,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 16'n'under Top 16 KnockOut,Danger,SEIGO,Danger,3,5,3,0,11,4,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,2,-5,14,-94,-57,,,,,-2,8,-48,-76,-19,,,,,-1,-2,-100,88,-8,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 16'n'under Top 16 KnockOut,SEIGO,Mimì,SEIGO,2,5,2,0,10,0,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,-4,-3,-5,-78,-26,,,,,-22,-14,-58,-81,-62,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 16'n'under Top 16 KnockOut,Danger,LilMega,Danger,2,5,2,0,9,1,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,1,-4,-84,-64,-22,,,,,-11,-1,-80,-73,-32,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 16'n'under Top 16 KnockOut,Mimì,Theige,Mimì,2,5,2,0,7,3,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,1,-6,-91,-100,-52,,,,,-1,3,-32,84,-63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 16'n'under Top 16 KnockOut,SEIGO,Sebastiaan,SEIGO,2,5,2,0,10,0,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,-15,-15,-100,-100,-35,,,,,-15,-17,-100,-78,-47,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 16'n'under Top 16 KnockOut,LEGEND,LilMega,LilMega,3,5,1,2,7,8,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,-27,-8,-12,-100,-70,,,,,1,-1,-10,100,7,,,,,17,31,14,100,19,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 16'n'under Top 16 KnockOut,Danger,Juice,Danger,2,5,2,0,10,0,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,-4,-25,-100,-100,-48,,,,,-15,-11,-12,-100,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 16'n'under Top 16 KnockOut,Mariarchie,Theige,Theige,2,5,0,2,0,10,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,24,22,58,100,84,,,,,10,14,79,100,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 16'n'under Top 16 KnockOut,Maya,Mimì,Mimì,2,5,0,2,0,10,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,28,21,100,100,76,,,,,18,10,100,92,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 16'n'under Top 16 KnockOut,Blake,Sebastiaan,Sebastiaan,2,5,0,2,2,8,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,-5,-3,11,100,64,,,,,2,22,62,93,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 16'n'under Top 16 KnockOut,Inzain,SEIGO,SEIGO,2,5,0,2,2,8,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,5,-4,15,-100,61,,,,,34,29,100,100,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 16'n'under Top 16 KnockOut,Macey,LilMega,LilMega,2,5,0,2,0,10,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,14,8,35,100,63,,,,,34,8,100,100,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 16'n'under Top 16 KnockOut,Hazza D,LEGEND,LEGEND,3,5,1,2,4,11,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,18,44,12,90,86,,,,,-9,8,-13,-58,7,,,,,3,7,-20,71,10,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 16'n'under Top 16 KnockOut,Cookie,Juice,Juice,2,5,0,2,0,10,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,41,13,92,83,65,,,,,41,29,100,100,82,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 16'n'under Top 16 KnockOut,Milan,Danger,Danger,2,5,0,2,0,10,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,21,55,61,100,71,,,,,58,54,99,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 B-Girl Top 8 KnockOut,Miimo,Solid,Solid,3,5,1,2,4,11,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,12,6,100,98,41,,,,,12,-4,10,100,19,,,,,1,-4,-10,85,-68,,,,,,,,,,,,,,,,,,
