event,stage,breaker 1 (red),breaker 2 (blue),winner,battle rounds,number of judges,breaker 1 round wins,breaker 2 round wins,breaker 1 vote count,breaker 2 vote count,judge 1 name,judge 2 name,judge 3 name,judge 4 name,judge 5 name,judge 6 name,judge 7 name,judge 8 name,judge 9 name,r1j1over,r1j1phys,r1j1arti,r1j1inte,r1j2over,r1j2phys,r1j2arti,r1j2inte,r1j3over,r1j3phys,r1j3arti,r1j3inte,r1j4over,r1j4phys,r1j4arti,r1j4inte,r1j5over,r1j5phys,r1j5arti,r1j5inte,r1j6over,r1j6phys,r1j6arti,r1j6inte,r1j7over,r1j7phys,r1j7arti,r1j7inte,r1j8over,r1j8phys,r1j8arti,r1j8inte,r1j9over,r1j9phys,r1j9arti,r1j9inte,r2j1over,r2j1phys,r2j1arti,r2j1inte,r2j2over,r2j2phys,r2j2arti,r2j2inte,r2j3over,r2j3phys,r2j3arti,r2j3inte,r2j4over,r2j4phys,r2j4arti,r2j4inte,r2j5over,r2j5phys,r2j5arti,r2j5inte,r2j6over,r2j6phys,r2j6arti,r2j6inte,r2j7over,r2j7phys,r2j7arti,r2j7inte,r2j8over,r2j8phys,r2j8arti,r2j8inte,r2j9over,r2j9phys,r2j9arti,r2j9inte,r3j1over,r3j1phys,r3j1arti,r3j1inte,r3j2over,r3j2phys,r3j2arti,r3j2inte,r3j3over,r3j3phys,r3j3arti,r3j3inte,r3j4over,r3j4phys,r3j4arti,r3j4inte,r3j5over,r3j5phys,r3j5arti,r3j5inte,r3j6over,r3j6phys,r3j6arti,r3j6inte,r3j7over,r3j7phys,r3j7arti,r3j7inte,r3j8over,r3j8phys,r3j8arti,r3j8inte,r3j9over,r3j9phys,r3j9arti,r3j9inte,r4j1over,r4j1phys,r4j1arti,r4j1inte,r4j2over,r4j2phys,r4j2arti,r4j2inte,r4j3over,r4j3phys,r4j3arti,r4j3inte,r4j4over,r4j4phys,r4j4arti,r4j4inte,r4j5over,r4j5phys,r4j5arti,r4j5inte,r4j6over,r4j6phys,r4j6arti,r4j6inte,r4j7over,r4j7phys,r4j7arti,r4j7inte,r4j8over,r4j8phys,r4j8arti,r4j8inte,r4j9over,r4j9phys,r4j9arti,r4j9inte
Campionato Italiano di Categoria Breaking FIDS 2023,1vs1 BBoy 12-15 C Top 16 KnockOut,Baruzzo,Elpablix,Baruzzo,3,3,2,1,5,4,Kadoer,Philgood,Dom-K,,,,,,,2.67,-6,4.33,4.33,15,-6.33,7.67,13.67,-24,-5.67,-8.33,-10,,,,,,,,,,,,,,,,,,,,,,,,,0.33,4.33,-2.67,-1.33,-12.33,2,-6.33,-8,-23,-10.33,-3.33,-9.33,,,,,,,,,,,,,,,,,,,,,,,,,2,3.67,-3,1.33,-25.67,0,-11,-14.67,-12.67,6.33,-10,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campionato Italiano di Categoria Breaking FIDS 2023,1vs1 BBoy 12-15 C Top 16 KnockOut,Yoga,Faby,Faby,2,3,0,2,1,5,Kadoer,Philgood,Dom-K,,,,,,,6.33,-2,4.67,3.67,-5,-5,0,0,6.33,-3.67,5,5,,,,,,,,,,,,,,,,,,,,,,,,,1.67,-4.33,3.33,2.67,29.67,6.67,14,9,23.33,10,5,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campionato Italiano di Categoria Breaking FIDS 2023,1vs1 BBoy 12-15 C Top 16 KnockOut,Faby,Elpablix,Elpablix,1,3,0,1,0,3,Kadoer,Philgood,Dom-K,,,,,,,4.33,4.67,2,-2.33,31.67,8.33,12,11.33,27,10.67,9,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campionato Italiano di Categoria Breaking FIDS 2023,1vs1 BBoy 12-15 C Top 16 KnockOut,Yoga,Baruzzo,Baruzzo,1,3,0,1,0,3,Kadoer,Philgood,Dom-K,,,,,,,10.33,3.33,4,3,12.67,8,-6.67,11.33,34.67,8.67,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campionato Italiano di Categoria Breaking FIDS 2023,1vs1 BBoy 12-15 C Top 16 KnockOut,Reel,Elpablix,Elpablix,1,3,0,1,0,3,Kadoer,Philgood,Dom-K,,,,,,,5.33,0,3,2.33,32.67,10,11.33,11.33,11.67,9,-8,10.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campionato Italiano di Categoria Breaking FIDS 2023,1vs1 BBoy 12-15 C Top 16 KnockOut,Diggo,Faby,Faby,1,3,0,1,0,3,Kadoer,Philgood,Dom-K,,,,,,,4,-2.33,3.67,2.67,19.33,5,7,7.33,21,2.33,9.67,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campionato Italiano di Categoria Breaking FIDS 2023,1vs1 BBoy 12-15 C Top 16 KnockOut,Messy,Baruzzo,Baruzzo,1,3,0,1,0,3,Kadoer,Philgood,Dom-K,,,,,,,9,6.67,-3,5.33,14.67,9.33,8.33,-3,28.33,8.33,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campionato Italiano di Categoria Breaking FIDS 2023,1vs1 BBoy 12-15 C Top 16 KnockOut,Yoga,Riki,Yoga,1,3,1,0,2,1,Kadoer,Philgood,Dom-K,,,,,,,-17.67,-6,-5.67,-6,-14.67,4.33,-7,-12,28,9.67,7,11.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campionato Italiano di Categoria Breaking FIDS 2023,1vs1 BBoy 12-15 C Top 16 KnockOut,Big Leo,Elpablix,Elpablix,1,3,0,1,0,3,Kadoer,Philgood,Dom-K,,,,,,,2.33,4.67,-2.33,0,36.67,15.33,8,13.33,10,9.33,7,-6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campionato Italiano di Categoria Breaking FIDS 2023,1vs1 BBoy 12-15 C Top 16 KnockOut,Reel,Dado,Reel,1,3,1,0,2,1,Kadoer,Philgood,Dom-K,,,,,,,3,3.67,2.33,-3,-21.67,-9,-8.33,-4.33,-21.67,-5.33,-7,-9.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
