Breaker Left,Breaker Right,Go First,Winner,Competition,City,Country,Year,Month,Day,Bracket Size,Bracket Stage,Remaining Contestants,Video Link,Battle Rounds,System,Number Judges,Judge 1,Judge 1 Vote,Judge 2,Judge 2 Vote,Judge 3,Judge 3 Vote,Judge 4,Judge 4 Vote,Judge 5,Judge 5 Vote,Judge 6,Judge 6 Vote,Judge 7,Judge 7 Vote,Tiebreaker J1,Tiebreaker J2,Tiebreaker J3,Tiebreaker J4,Tiebreaker J5,Tiebreaker J6,Tiebreaker J7,R1J1,R1J2,R1J3,R1J4,R1J5,R1J6,R1J7,R2J1,R2J2,R2J3,R2J4,R2J5,R2J6,R2J7,R3J1,R3J2,R3J3,R3J4,R3J5,R3J6,R3J7,R4J1,R4J2,R4J3,R4J4,R4J5,R4J6,R4J7,R5J1,R5J2,R5J3,R5J4,R5J5,R5J6,R5J7
Jamal,Kosto,Kosto,Kosto,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,5,2,youtube.com/watch?v=-wZyZh0RMLo,3,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Kosto,Kosto,Kosto,Kosto,Kosto,,,Kosto,Kosto,Kosto,Kosto,Kosto,,,Jamal,Kosto,Jamal,Jamal,Kosto,,,,,,,,,,,,,,,,
Hatsolo,Xak,Xak,Hatsolo,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,4.5,,youtube.com/watch?v=pf78uOxRpuI,3,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Hatsolo,Hatsolo,Hatsolo,Hatsolo,Hatsolo,,,Xak,Xak,Xak,Xak,Xak,,,Hatsolo,Xak,Hatsolo,Hatsolo,Xak,,,,,,,,,,,,,,,,
Jamal,Hatsolo,Hatsolo,Jamal,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,4,4,youtube.com/watch?v=fTNTzo5EF8U,2,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Jamal,Jamal,Jamal,Jamal,Jamal,,,Jamal,Jamal,Jamal,Hatsolo,Jamal,,,,,,,,,,,,,,,,,,,,,,,
Kosto,Xak,Kosto,Kosto,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,4,4,youtube.com/watch?v=9EGIdwZp6BA,2,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Kosto,Xak,Kosto,Xak,Kosto,,,Kosto,Kosto,Kosto,Kosto,Kosto,,,,,,,,,,,,,,,,,,,,,,,
Kosto,Lorenzo,Kosto,Kosto,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,3,8,youtube.com/watch?v=MuwK48jp5tE,2,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Kosto,Kosto,Kosto,Kosto,Kosto,,,Kosto,Kosto,Kosto,Kosto,Kosto,,,,,,,,,,,,,,,,,,,,,,,
Hatsolo,Deeogo,Deeogo,Hatsolo,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,3,8,youtube.com/watch?v=x1O96GaZPJk,2,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Hatsolo,Hatsolo,Hatsolo,Deeogo,Hatsolo,,,Hatsolo,Hatsolo,Deeogo,Hatsolo,Hatsolo,,,,,,,,,,,,,,,,,,,,,,,
Xak,Twister,Twister,Xak,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,3,8,youtube.com/watch?v=nnGug7B_R7Q,2,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Xak,Twister,Xak,Xak,Xak,,,Xak,Xak,Xak,Xak,Xak,,,,,,,,,,,,,,,,,,,,,,,
Jamal,Tunde,Tunde,Jamal,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,3,8,youtube.com/watch?v=L5bbUHrLkMA,2,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Jamal,Jamal,Jamal,Jamal,Jamal,,,Jamal,Jamal,Jamal,Jamal,Jamal,,,,,,,,,,,,,,,,,,,,,,,
Volodya,Tunde,Tunde,Tunde,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,2,16,youtube.com/watch?v=zw1JOofL5Kg,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Tunde,Tunde,Volodya,Volodya,Tunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatsolo,Said,Said,Hatsolo,WDSF European Breaking Championship BBoy,Sochi,Russia,2021,6,26,32,2,16,youtube.com/watch?v=uYvhME7OusM,1,Trivium,5,Focus,,Katsu,,Admir,,Skim,,Yan,,,,,,,,,,,,,Hatsolo,Hatsolo,Said,Hatsolo,Hatsolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
